#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
46,"I Hung
                                                                        Yeh",I Hung Yeh,Alton River Dragons,1.06,Western,South,ALT,I Hung Yeh (ALT),Fr,RHP,53,No*,11,9,3,5,0,0,40,182,60,13.5,44,33,19,4.28,14,3.15,0.74,7.42,1.98,7.1,0.32,82,121,2,4,5,1,0,37,13,5,5,98,0.33,0.403,0.538,0.941
14,"Blake
                                                                        Kincaid",Blake Kincaid,Cape Catfish,1.049,Western,South,CGR,Blake Kincaid (CGR),Sr,RHP,55,No*,10,9,2,1,0,0,40,157,43,9.68,20,19,12,2.7,24,5.4,2,4.27,1.38,4.48,-0.21,141,71,5,0,0,1,0,31,8,3,1,60,0.274,0.324,0.382,0.706
7,"Breyllin
                                                                        Suriel",Breyllin Suriel,REX Baseball,1.071,Eastern,Central,TER,Breyllin Suriel (TER),Jr,RHP,55,No*,18,2,2,1,8,0,39,136,22,5.08,8,7,13,3,46,10.62,3.54,1.62,0.9,3.89,-2.27,380,26,4,6,1,1,0,18,2,1,1,29,0.162,0.263,0.213,0.476
29,"Ian
                                                                        Korn",Ian Korn,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Ian Korn (JNT),So,RHP,56,No*,8,8,3,1,0,0,38.67,133,24,5.59,7,7,11,2.56,52,12.1,4.73,1.63,0.91,3.44,-1.81,308,32,3,2,0,0,0,21,1,0,2,31,0.18,0.253,0.233,0.487
99,"Zach
                                                                        Wyatt",Zach Wyatt,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Zach Wyatt (LAF),Fr,RHP,56,No*,6,6,3,3,0,0,38.67,149,39,9.08,20,17,4,0.93,34,7.91,8.5,3.96,1.11,4.58,-0.62,155,64,0,3,0,0,0,28,7,0,4,58,0.262,0.295,0.389,0.684
37,"Jacob
                                                                        Culp",Jacob Culp,Dubois County Bombers,0.908,Eastern,Central,DUB,Jacob Culp (DUB),Fr,RHP,54,No*,8,8,0,3,0,0,38,150,38,9,22,15,25,5.92,34,8.05,1.36,3.55,1.66,5.87,-2.32,147,67,7,7,2,0,1,31,5,0,2,49,0.253,0.385,0.327,0.711
13,"Coby
                                                                        Rogers",Coby Rogers,Jackson Rockabillys,0.871,Western,South,JAX,Coby Rogers (JAX),Jr,RHP,55,No*,13,5,2,3,0,0,37.67,149,40,9.56,36,28,29,6.93,41,9.8,1.41,6.69,1.83,7.45,-0.76,75,131,7,10,1,1,1,28,6,0,6,64,0.268,0.418,0.43,0.848
33,"Wesley
                                                                        Culley",Wesley Culley,Champion City Kings,0.956,Eastern,Northeast,CCY,Wesley Culley (CCY),Jr,LHP,56,No*,9,5,2,3,0,0,37.33,128,29,6.99,18,13,12,2.89,37,8.92,3.08,3.13,1.1,3.83,-0.7,176,57,4,5,0,3,1,25,4,0,0,33,0.227,0.311,0.258,0.569
27,"Markell
                                                                        Dixon",Markell Dixon,O'Fallon Hoots,1.04,Western,South,OFL,Markell Dixon (OFL),Jr,RHP,56,No*,16,1,3,1,2,0,37.33,134,27,6.51,17,13,22,5.3,63,15.19,2.86,3.13,1.31,3.35,-0.22,191,52,6,2,0,1,0,19,4,3,1,40,0.201,0.321,0.299,0.619
14,"Jud
                                                                        Files",Jud Files,Danville Dans,0.869,Eastern,Central,DAN,Jud Files (DAN),Fr,RHP,56,No*,11,7,2,3,0,0,36.33,140,28,6.94,24,21,19,4.71,45,11.15,2.37,5.2,1.29,4.23,0.97,96,102,7,4,2,1,1,23,4,0,1,35,0.2,0.311,0.25,0.561
24,"Will
                                                                        Juday",Will Juday,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Will Juday (JNT),Fr,RHP,56,No*,15,1,4,1,0,0,36.33,133,28,6.94,14,12,25,6.19,27,6.69,1.08,2.97,1.46,5.36,-2.39,169,58,7,4,0,2,0,22,6,0,0,34,0.211,0.348,0.256,0.603
36,"Brayden
                                                                        Rubel",Brayden Rubel,O'Fallon Hoots,1.04,Western,South,OFL,Brayden Rubel (OFL),Fr,LHP,56,No*,12,6,1,3,1,0,36.33,134,32,7.93,26,24,25,6.19,51,12.63,2.04,5.94,1.57,4.67,1.27,101,99,3,3,1,2,1,22,7,1,2,47,0.239,0.366,0.351,0.717
99,"Samuel
                                                                        Guadamuz",Samuel Guadamuz,REX Baseball,1.071,Eastern,Central,TER,Samuel Guadamuz (TER),So,RHP,55,No*,9,7,2,4,0,1,36,142,44,11,30,29,17,4.25,31,7.75,1.82,7.25,1.69,6.9,0.35,85,117,5,7,0,2,0,32,5,1,6,69,0.31,0.405,0.486,0.891
8,"Christian
                                                                        Harvey",Christian Harvey,O'Fallon Hoots,1.04,Western,South,OFL,Christian Harvey (OFL),So,RHP,56,No*,14,4,2,2,1,0,36,139,35,8.75,28,22,24,6,44,11,1.83,5.5,1.64,5.4,0.1,109,92,3,8,0,3,0,27,5,1,2,48,0.252,0.385,0.345,0.73
88,"Garrett
                                                                        Helsel",Garrett Helsel,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Garrett Helsel (CHI),So,LHP,56,No*,7,7,3,2,0,0,35.67,136,30,7.57,13,11,11,2.78,57,14.38,5.18,2.78,1.15,2.99,-0.21,287,30,4,1,0,1,2,19,9,0,2,45,0.221,0.282,0.331,0.613
31,"Carter
                                                                        White",Carter White,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Carter White (CHI),Fr,LHP,56,No*,14,5,5,0,1,0,35.33,129,26,6.62,12,9,21,5.35,59,15.03,2.81,2.29,1.33,3.49,-1.2,348,24,4,7,0,1,1,22,4,0,0,30,0.202,0.342,0.233,0.574
31,"Jimmy
                                                                        Burke",Jimmy Burke,Clinton LumberKings,0.987,Western,Northwest,CLN,Jimmy Burke (CLN),Jr,RHP,54,No*,9,9,3,0,0,0,35.33,131,32,8.15,20,16,15,3.82,36,9.17,2.4,4.08,1.33,4.03,0.05,139,72,2,4,0,1,2,20,12,0,0,44,0.244,0.338,0.336,0.674
37,"J.Henry
                                                                        Hobson",J.Henry Hobson,Thrillville Thrillbillies,0.966,Western,South,THR,J.Henry Hobson (THR),Jr,RHP,54,No*,8,8,2,2,0,0,35.33,141,38,9.68,20,12,8,2.04,23,5.86,2.88,3.06,1.3,4.82,-1.76,182,55,2,3,0,2,0,30,6,0,2,50,0.27,0.318,0.355,0.673
27,"Michael
                                                                        Schaul",Michael Schaul,Burlington Bees,1.081,Western,Northwest,BRL,Michael Schaul (BRL),So,RHP,56,No*,13,3,1,1,1,0,35,138,42,10.8,23,21,15,3.86,28,7.2,1.87,5.4,1.63,5.65,-0.25,115,86,8,9,0,3,1,30,9,1,2,59,0.304,0.4,0.428,0.828
6,"Abe
                                                                        Chancellor",Abe Chancellor,Danville Dans,0.869,Eastern,Central,DAN,Abe Chancellor (DAN),Jr,LHP,56,No*,7,6,3,1,1,0,35,127,29,7.46,12,11,16,4.11,46,11.83,2.88,2.83,1.29,4.85,-2.02,177,56,1,2,0,1,2,20,4,1,4,47,0.228,0.322,0.37,0.692
40,"Nathan
                                                                        Vidmar",Nathan Vidmar,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Nathan Vidmar (JNT),So,RHP,56,No*,10,9,0,5,0,0,35,154,50,12.86,43,36,17,4.37,17,4.37,1,9.26,1.91,6.02,3.24,54,182,5,4,0,0,1,40,7,1,2,65,0.325,0.406,0.422,0.828
3,"Kam
                                                                        Dohogne",Kam Dohogne,Cape Catfish,1.049,Western,South,CGR,Kam Dohogne (CGR),Jr,LHP,55,No*,11,8,1,2,0,0,34.67,151,47,12.2,36,27,6,1.56,27,7.01,4.5,7.01,1.53,5.26,1.75,86,116,0,4,0,2,1,31,9,3,4,74,0.311,0.35,0.49,0.84
7,"Elliott
                                                                        Rossell",Elliott Rossell,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Elliott Rossell (LAF),Fr,RHP,56,No*,11,7,1,2,0,1,34.67,144,39,10.12,33,27,24,6.23,22,5.71,0.92,7.01,1.82,7.08,-0.07,88,113,7,8,1,0,0,31,5,0,3,53,0.271,0.403,0.368,0.771
45,"Owen
                                                                        Coffman",Owen Coffman,Clinton LumberKings,0.987,Western,Northwest,CLN,Owen Coffman (CLN),Sr,RHP,54,No*,7,7,1,4,0,0,34.33,130,36,9.44,23,22,15,3.93,37,9.7,2.47,5.77,1.49,4.71,1.06,98,102,4,4,2,2,1,32,2,0,2,44,0.277,0.364,0.338,0.703
37,"Jake
                                                                        Porter",Jake Porter,REX Baseball,1.071,Eastern,Central,TER,Jake Porter (TER),So,LHP,55,No*,8,5,3,1,1,0,34.33,127,30,7.86,14,11,16,4.19,37,9.7,2.31,2.88,1.34,4.42,-1.54,214,47,1,4,0,1,1,25,4,0,1,37,0.236,0.338,0.291,0.629
18,"Jacob
                                                                        Hustedde",Jacob Hustedde,Thrillville Thrillbillies,0.966,Western,South,THR,Jacob Hustedde (THR),Fr,RHP,54,No*,9,6,0,2,0,0,34.33,139,43,11.27,27,25,14,3.67,26,6.82,1.86,6.55,1.66,4.63,1.92,85,118,2,1,0,4,0,30,10,2,1,60,0.309,0.367,0.432,0.799
99,"Bobby
                                                                        Helt",Bobby Helt,Burlington Bees,1.081,Western,Northwest,BRL,Bobby Helt (BRL),Jr,RHP,56,No*,8,4,2,0,1,0,34,133,36,9.53,16,13,9,2.38,28,7.41,3.11,3.44,1.32,4.45,-1.01,181,55,11,1,0,0,0,28,5,1,2,49,0.271,0.322,0.368,0.69
8,"Matt
                                                                        Maloney",Matt Maloney,Jackson Rockabillys,0.871,Western,South,JAX,Matt Maloney (JAX),Jr,RHP,55,No*,8,8,1,2,0,0,34,145,48,12.71,40,36,27,7.15,21,5.56,0.78,9.53,2.21,7.07,2.46,53,187,10,8,0,1,1,30,14,2,2,72,0.331,0.459,0.497,0.955
16,"Jackson
                                                                        Rodgers",Jackson Rodgers,Alton River Dragons,1.06,Western,South,ALT,Jackson Rodgers (ALT),Fr,RHP,53,No*,9,9,1,3,0,0,33.33,138,44,11.88,30,24,17,4.59,26,7.02,1.53,6.48,1.83,5.68,0.8,94,106,1,1,0,1,0,25,12,4,3,73,0.319,0.395,0.529,0.924
23,"Austin
                                                                        Gast",Austin Gast,Thrillville Thrillbillies,0.966,Western,South,THR,Austin Gast (THR),Jr,RHP,54,No*,11,4,1,1,0,0,33.33,121,27,7.29,12,10,13,3.51,31,8.37,2.38,2.7,1.2,4.78,-2.08,206,49,5,7,0,0,2,19,6,1,1,38,0.223,0.333,0.314,0.647
99,"Joe
                                                                        Evans",Joe Evans,Burlington Bees,1.081,Western,Northwest,BRL,Joe Evans (BRL),So,LHP,56,No*,12,0,3,2,1,0,32.67,123,31,8.54,18,13,17,4.68,34,9.37,2,3.58,1.47,5.28,-1.7,174,57,6,6,2,2,1,25,4,0,2,41,0.252,0.365,0.333,0.698
