#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
99,"Conor
                                                                        Thiele",Conor Thiele,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Conor Thiele (JNT),Jr,RHP,56,No,14,0,1,0,1,0,20.67,78,20,8.71,16,14,14,6.1,21,9.15,1.5,6.1,1.65,5.47,0.63,82,120,2,7,2,2,0,14,6,0,0,26,0.256,0.406,0.333,0.739
22,"Jaxson
                                                                        Lucas",Jaxson Lucas,Jackson Rockabillys,0.871,Western,South,JAX,Jaxson Lucas (JAX),Sr,RHP,55,No,17,0,1,1,13,0,20.67,69,7,3.05,3,2,9,3.92,28,12.19,3.11,0.87,0.77,3.48,-2.61,576,17,1,3,0,1,0,6,1,0,0,8,0.101,0.232,0.116,0.348
99,"Mason
                                                                        Robinson",Mason Robinson,Danville Dans,0.869,Eastern,Central,DAN,Mason Robinson (DAN),Fr,RHP,56,No,10,0,1,0,0,0,20.33,70,13,5.76,8,7,26,11.51,30,13.28,1.15,3.1,1.92,5.78,-2.68,161,61,2,3,0,1,0,12,1,0,0,14,0.186,0.42,0.2,0.62
14,"Jack
                                                                        Taczy",Jack Taczy,Dubois County Bombers,0.908,Eastern,Central,DUB,Jack Taczy (DUB),So,LHP,54,No,11,1,2,2,0,0,20.33,76,18,7.97,14,11,13,5.76,21,9.3,1.62,4.87,1.52,4.75,0.12,107,92,6,3,0,2,0,16,2,0,0,20,0.237,0.362,0.263,0.625
6,"Lake
                                                                        Morris",Lake Morris,Full Count Rhythm,1.031,Eastern,Central,FCR,Lake Morris (FCR),Fr,LHP,55,No,5,5,2,1,0,0,20.33,71,12,5.31,5,2,12,5.31,21,9.3,1.75,0.89,1.18,4.3,-3.41,666,15,0,1,0,0,2,11,1,0,0,13,0.169,0.298,0.183,0.481
17,"Nathaniel
                                                                        Pulliam",Nathaniel Pulliam,Full Count Rhythm,1.031,Eastern,Central,FCR,Nathaniel Pulliam (FCR),Fr,RHP,55,No,15,1,2,2,1,0,20.33,74,17,7.53,15,14,13,5.76,17,7.52,1.31,6.2,1.48,5.78,0.42,96,104,7,3,0,2,2,11,4,1,1,26,0.23,0.359,0.351,0.71
18,"Ryan
                                                                        Sweeney",Ryan Sweeney,Full Count Rhythm,1.031,Eastern,Central,FCR,Ryan Sweeney (FCR),Fr,RHP,55,No,18,0,1,0,2,0,20.33,64,7,3.1,8,6,21,9.3,36,15.93,1.71,2.66,1.38,4.45,-1.79,223,45,6,3,0,0,1,4,3,0,0,10,0.109,0.352,0.156,0.509
21,"Zacheus
                                                                        Carr",Zacheus Carr,REX Baseball,1.071,Eastern,Central,TER,Zacheus Carr (TER),Jr,RHP,55,No,10,3,1,1,0,0,20.33,79,20,8.85,21,21,17,7.53,13,5.75,0.76,9.3,1.82,8.14,1.16,66,150,2,8,0,2,0,12,5,1,2,33,0.253,0.425,0.418,0.842
18,"Justin
                                                                        Trucks",Justin Trucks,Dubois County Bombers,0.908,Eastern,Central,DUB,Justin Trucks (DUB),Fr,RHP,54,No,13,0,0,1,1,0,20,77,18,8.1,21,18,17,7.65,21,9.45,1.24,8.1,1.75,6.45,1.65,64,154,3,6,0,0,0,11,4,2,1,29,0.234,0.41,0.377,0.787
17,"Jack
                                                                        Turgasen",Jack Turgasen,Clinton LumberKings,0.987,Western,Northwest,CLN,Jack Turgasen (CLN),So,RHP,54,No,7,1,1,1,1,0,20,72,12,5.4,6,4,5,2.25,24,10.8,4.8,1.8,0.85,2.8,-1,315,32,1,0,0,1,0,7,5,0,0,17,0.167,0.218,0.236,0.454
30,"Brett
                                                                        Sherrard",Brett Sherrard,REX Baseball,1.071,Eastern,Central,TER,Brett Sherrard (TER),Fr,RHP,55,No,5,2,2,0,0,0,20,75,15,6.75,6,6,6,2.7,28,12.6,4.67,2.7,1.05,3.2,-0.5,228,44,1,0,0,0,0,13,1,0,1,19,0.2,0.259,0.253,0.513
5,"Walker
                                                                        Williams",Walker Williams,Jackson Rockabillys,0.871,Western,South,JAX,Walker Williams (JAX),Jr,LHP,55,No,12,0,3,0,0,0,20,77,16,7.2,10,8,14,6.3,21,9.45,1.5,3.6,1.5,4.45,-0.85,139,71,6,0,0,0,0,11,5,0,0,21,0.208,0.33,0.273,0.602
1,"Matt
                                                                        Cruise",Matt Cruise,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Matt Cruise (SPR),So,RHP,55,No,7,5,1,4,0,0,20,76,22,9.9,22,18,22,9.9,8,3.6,0.36,8.1,2.2,9.35,-1.25,66,151,0,3,0,2,0,10,8,1,3,41,0.289,0.456,0.539,0.996
31,"Davin
                                                                        Meier",Davin Meier,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Davin Meier (SPR),Sr,RHP,55,No,5,5,1,1,0,0,20,89,31,13.95,15,11,10,4.5,11,4.95,1.1,4.95,2.05,6.15,-1.2,108,92,2,0,0,2,0,24,5,0,2,42,0.348,0.406,0.472,0.878
20,"Isaiah
                                                                        Naylor",Isaiah Naylor,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Isaiah Naylor (SPR),So,LHP,55,No,16,0,1,0,4,0,20,76,14,6.3,8,5,10,4.5,20,9,2,2.25,1.2,4.75,-2.5,237,42,3,1,0,2,0,12,1,0,1,18,0.184,0.281,0.237,0.518
12,"Cole
                                                                        Parkhill",Cole Parkhill,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Cole Parkhill (SPR),Sr,RHP,55,No,5,4,0,1,0,0,20,81,24,10.8,21,21,11,4.95,13,5.85,1.18,9.45,1.75,8,1.45,56,176,1,4,0,1,0,19,1,0,4,37,0.296,0.402,0.457,0.859
99,"Karsten
                                                                        Stotlar",Karsten Stotlar,Thrillville Thrillbillies,0.966,Western,South,THR,Karsten Stotlar (THR),Jr,LHP,54,No,6,4,1,0,0,0,20,78,17,7.65,9,9,6,2.7,20,9,3.33,4.05,1.15,5.1,-1.05,137,73,2,3,0,1,0,12,3,0,2,26,0.218,0.295,0.333,0.629
99,"Logan
                                                                        Barnett",Logan Barnett,Normal CornBelters,0.884,Eastern,Central,NOR,Logan Barnett (NOR),Fr,RHP,54,No,12,0,1,0,2,0,19.67,70,14,6.41,10,9,11,5.03,14,6.41,1.27,4.12,1.27,5.01,-0.89,123,80,5,2,0,2,0,14,0,0,0,14,0.2,0.318,0.2,0.518
15,"Evan
                                                                        Ables",Evan Ables,Champion City Kings,0.956,Eastern,Northeast,CCY,Evan Ables (CCY),Fr,RHP,56,No,11,1,0,2,0,0,19.33,82,27,12.57,37,34,32,14.9,15,6.98,0.47,15.83,3.05,9.52,6.31,35,287,9,2,3,1,0,17,8,0,2,41,0.329,0.521,0.5,1.021
99,"Noah
                                                                        Harbin",Noah Harbin,Burlington Bees,1.081,Western,Northwest,BRL,Noah Harbin (BRL),Fr,RHP,56,No,5,4,0,3,0,0,19.33,82,24,11.17,17,13,12,5.59,14,6.52,1.17,6.05,1.86,6.88,-0.83,103,97,5,0,0,1,0,18,3,0,3,36,0.293,0.379,0.439,0.818
22,"Drew
                                                                        Wedgeworth",Drew Wedgeworth,Cape Catfish,1.049,Western,South,CGR,Drew Wedgeworth (CGR),Fr,LHP,55,No,9,0,2,1,0,0,19.33,70,19,8.85,11,11,6,2.79,16,7.45,2.67,5.12,1.29,5.69,-0.57,118,85,0,4,0,1,2,16,1,0,2,26,0.271,0.358,0.371,0.729
7,"Carson
                                                                        Howard",Carson Howard,Full Count Rhythm,1.031,Eastern,Central,FCR,Carson Howard (FCR),Jr,RHP,55,No,9,2,0,2,0,0,19.33,78,24,11.17,17,16,8,3.72,18,8.38,2.25,7.45,1.66,5.33,2.12,80,126,2,1,0,1,1,18,4,0,2,34,0.308,0.375,0.436,0.811
26,"Garrett
                                                                        Siemsen",Garrett Siemsen,Clinton LumberKings,0.987,Western,Northwest,CLN,Garrett Siemsen (CLN),So,RHP,54,No,7,3,2,1,0,0,19.33,77,24,11.17,19,15,10,4.66,10,4.66,1,6.98,1.76,5.28,1.7,81,123,2,2,0,1,1,17,6,1,0,32,0.312,0.4,0.416,0.816
29,"Corbin
                                                                        Payne",Corbin Payne,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Corbin Payne (LAF),Fr,LHP,56,No,11,0,1,0,0,0,19.33,67,7,3.26,9,9,13,6.05,26,12.1,2,4.19,1.03,6.26,-2.07,147,68,2,3,0,0,0,4,0,0,3,16,0.104,0.277,0.239,0.516
52,"Jackson
                                                                        Conn",Jackson Conn,Thrillville Thrillbillies,0.966,Western,South,THR,Jackson Conn (THR),Jr,RHP,54,No,17,0,2,4,1,0,19.33,62,6,2.79,15,5,31,14.43,28,13.03,0.9,2.33,1.91,6.83,-4.5,239,42,10,3,0,2,2,6,0,0,0,6,0.097,0.408,0.097,0.505
32,"Braden
                                                                        Shepherd",Braden Shepherd,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Braden Shepherd (CHI),So,RHP,56,No,15,0,3,0,1,0,19,69,16,7.58,23,21,24,11.37,19,9,0.79,9.95,2.11,9.03,0.92,80,106,5,9,1,1,0,9,5,0,2,27,0.232,0.476,0.391,0.867
99,"Tyler
                                                                        Elliott",Tyler Elliott,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Tyler Elliott (JNT),Fr,RHP,56,No,9,5,1,2,1,0,19,81,25,11.84,20,16,9,4.26,25,11.84,2.78,7.58,1.79,5.08,2.5,66,149,5,3,0,0,0,13,10,0,2,41,0.309,0.398,0.506,0.904
22,"Jeremy
                                                                        Crider",Jeremy Crider,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Jeremy Crider (LAF),Fr,RHP,56,No,13,1,0,2,1,0,19,76,25,11.84,22,14,15,7.11,13,6.16,0.87,6.63,2.11,8.35,-1.72,93,107,5,14,0,2,1,21,3,0,1,31,0.329,0.505,0.408,0.913
19,"Bryce
                                                                        Riggs",Bryce Riggs,Danville Dans,0.869,Eastern,Central,DAN,Bryce Riggs (DAN),Fr,RHP,56,No,7,2,2,0,1,0,18.33,59,13,6.38,3,2,4,1.96,29,14.24,7.25,0.98,0.93,1.94,-0.96,510,19,0,0,0,0,0,12,1,0,0,14,0.22,0.27,0.237,0.507
24,"Colton
                                                                        Regen",Colton Regen,Full Count Rhythm,1.031,Eastern,Central,FCR,Colton Regen (FCR),Jr,RHP,55,No,6,4,1,2,0,0,18.33,60,6,2.95,13,6,23,11.29,32,15.71,1.39,2.95,1.58,5.05,-2.1,201,50,8,2,0,0,0,3,3,0,0,9,0.1,0.365,0.15,0.515
29,"Brady
                                                                        Coon",Brady Coon,O'Fallon Hoots,1.04,Western,South,OFL,Brady Coon (OFL),Fr,OF,56,No,9,4,3,0,0,0,18.33,73,20,9.82,8,8,10,4.91,17,8.35,1.7,3.93,1.64,5.11,-1.18,152,66,4,1,0,0,0,14,4,1,1,29,0.274,0.369,0.397,0.766
22,"Jack
                                                                        Armstrong",Jack Armstrong,Danville Dans,0.869,Eastern,Central,DAN,Jack Armstrong (DAN),Jr,RHP,56,No,10,0,1,1,2,0,18,67,15,7.5,11,8,10,5,25,12.5,2.5,4,1.39,3.51,0.49,125,79,2,1,1,1,0,10,5,0,0,20,0.224,0.329,0.299,0.628
99,"Griffin
                                                                        Graves",Griffin Graves,Danville Dans,0.869,Eastern,Central,DAN,Griffin Graves (DAN),Fr,LHP,56,No,5,3,2,1,0,0,18,56,15,7.5,9,7,15,7.5,27,13.5,1.8,3.5,1.67,4.45,-0.95,143,69,2,3,0,0,0,14,0,1,0,17,0.268,0.446,0.304,0.75
8,"Mac
                                                                        Ketchin",Mac Ketchin,Danville Dans,0.869,Eastern,Central,DAN,Mac Ketchin (DAN),So,OF,56,No,7,1,1,2,0,0,18,68,18,9,18,14,13,6.5,15,7.5,1.15,7,1.72,6.73,0.27,71,138,4,2,0,2,1,13,2,1,2,28,0.265,0.388,0.412,0.8
41,"Kieran
                                                                        Bailey",Kieran Bailey,Clinton LumberKings,0.987,Western,Northwest,CLN,Kieran Bailey (CLN),Jr,LHP,54,No,7,2,2,1,0,0,18,69,19,9.5,19,12,13,6.5,14,7,1.08,6,1.78,5.73,0.27,95,106,5,4,0,1,0,17,1,1,0,22,0.275,0.414,0.319,0.733
99,"Josh
                                                                        Katz",Josh Katz,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Josh Katz (IVY),Fr,RHP,56,No,4,1,2,0,1,0,18,61,10,5,2,2,3,1.5,24,12,8,1,0.72,2.45,-1.45,626,16,1,1,0,0,0,8,2,0,0,12,0.164,0.215,0.197,0.412
99,"Matt
                                                                        Tarr",Matt Tarr,Thrillville Thrillbillies,0.966,Western,South,THR,Matt Tarr (THR),So,RHP,54,No,11,0,2,1,1,0,18,71,19,9.5,15,10,12,6,18,9,1.5,5,1.72,4.95,0.05,111,90,6,3,0,0,0,11,7,1,0,28,0.268,0.395,0.394,0.79
99,"Chase
                                                                        Golden",Chase Golden,Burlington Bees,1.081,Western,Northwest,BRL,Chase Golden (BRL),So,RHP,56,No,13,1,1,2,0,0,17.67,65,17,8.66,19,17,19,9.68,22,11.21,1.16,8.66,2.04,7,1.66,72,138,11,2,1,2,2,13,2,0,2,25,0.262,0.432,0.385,0.816
99,"John-Paul
                                                                        Sauer",John-Paul Sauer,Cape Catfish,1.049,Western,South,CGR,John-Paul Sauer (CGR),Fr,RHP,55,No,3,3,1,0,0,0,17.67,60,9,4.58,4,3,9,4.58,8,4.08,0.89,1.53,1.02,5.81,-4.28,394,25,0,0,0,1,0,5,3,0,1,15,0.15,0.257,0.25,0.507
42,"Zach
                                                                        Kempe",Zach Kempe,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Zach Kempe (IVY),Jr,RHP,56,No,5,3,1,0,1,0,17.67,56,6,3.06,2,2,5,2.55,26,13.25,5.2,1.02,0.62,3.04,-2.02,614,16,0,4,1,1,0,5,1,0,0,7,0.107,0.227,0.125,0.352
99,"Taylor
                                                                        Waldron",Taylor Waldron,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Taylor Waldron (IVY),Fr,RHP,56,No,5,3,0,0,0,0,17.67,74,16,8.15,9,0,2,1.02,23,11.72,11.5,0,1.02,2.92,-2.92,1500,0,0,0,0,0,0,13,0,2,1,23,0.216,0.237,0.311,0.548
99,"Jacob
                                                                        Havern",Jacob Havern,Danville Dans,0.869,Eastern,Central,DAN,Jacob Havern (DAN),So,RHP,56,No,5,2,2,0,0,0,17.33,62,10,5.19,8,6,6,3.12,22,11.42,3.67,3.12,0.92,3.7,-0.58,160,61,3,0,0,1,0,7,2,0,1,15,0.161,0.232,0.242,0.474
29,"Jake
                                                                        Weissenberger",Jake Weissenberger,Clinton LumberKings,0.987,Western,Northwest,CLN,Jake Weissenberger (CLN),Jr,RHP,54,No,12,0,1,1,0,0,17.33,77,25,12.98,17,14,4,2.08,14,7.27,3.5,7.27,1.67,3.7,3.57,78,128,0,1,0,0,1,18,6,1,0,33,0.325,0.366,0.429,0.794
99,"Malachi
                                                                        Paplanus",Malachi Paplanus,Normal CornBelters,0.884,Eastern,Central,NOR,Malachi Paplanus (NOR),Fr,RHP,54,No,9,2,1,2,0,0,17.33,71,18,9.35,15,13,10,5.19,14,7.27,1.4,6.75,1.62,7.28,-0.53,75,131,1,7,0,0,0,14,2,0,2,26,0.254,0.398,0.366,0.764
99,"Trey
                                                                        Carter",Trey Carter,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Trey Carter (SPR),Fr,RHP,55,No,4,4,0,3,0,0,17.33,77,26,13.5,20,14,8,4.15,15,7.79,1.88,7.27,1.96,5.95,1.32,73,136,1,2,0,1,0,19,3,2,2,39,0.338,0.409,0.506,0.916
8,"Arlon
                                                                        Butts",Arlon Butts,Cape Catfish,1.049,Western,South,CGR,Arlon Butts (CGR),Sr,RHP,55,No,13,0,0,3,3,0,17,64,13,6.88,16,12,6,3.18,23,12.18,3.83,6.35,1.12,4.51,1.84,95,105,4,1,0,1,1,7,3,1,2,24,0.203,0.278,0.375,0.653
99,"Zach
                                                                        Sharshel",Zach Sharshel,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Zach Sharshel (JNT),Fr,RHP,56,No,4,4,1,1,0,0,17,61,9,4.76,9,9,7,3.71,26,13.76,3.71,4.76,0.94,3.51,1.25,105,93,2,5,0,0,0,4,3,2,0,16,0.148,0.288,0.262,0.55
29,"Quincy
                                                                        Thornton",Quincy Thornton,Jackson Rockabillys,0.871,Western,South,JAX,Quincy Thornton (JAX),So,RHP,55,No,5,3,1,1,0,0,17,68,20,10.59,14,14,11,5.82,15,7.94,1.36,7.41,1.82,7.04,0.37,68,145,5,5,1,1,0,13,4,1,2,32,0.294,0.424,0.471,0.894
13,"Andrew
                                                                        DeWitt",Andrew DeWitt,Champion City Kings,0.956,Eastern,Northeast,CCY,Andrew DeWitt (CCY),Jr,LHP,56,No,11,3,0,2,0,0,16.67,74,25,13.5,18,16,8,4.32,15,8.1,1.88,8.64,1.98,5.41,3.23,64,157,1,3,0,0,0,18,5,1,1,35,0.338,0.424,0.473,0.897
23,"Easton
                                                                        Storey",Easton Storey,Danville Dans,0.869,Eastern,Central,DAN,Easton Storey (DAN),Fr,LHP,56,No,6,2,0,0,1,0,16.67,62,13,7.02,8,3,10,5.4,27,14.58,2.7,1.62,1.38,3.73,-2.11,309,32,4,4,0,0,1,9,4,0,0,17,0.21,0.355,0.274,0.629
31,"Zach
                                                                        Dellerman",Zach Dellerman,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Zach Dellerman (JNT),So,RHP,56,No,11,2,0,2,0,0,16.67,69,29,15.66,36,31,19,10.26,11,5.94,0.58,16.74,2.88,9.13,7.61,30,328,9,10,1,5,1,20,7,1,1,41,0.42,0.563,0.594,1.157
60,"Jackson
                                                                        Peeler",Jackson Peeler,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Jackson Peeler (IVY),Fr,RHP,56,No,6,3,1,1,1,0,16.67,64,13,7.02,13,10,11,5.94,18,9.72,1.64,5.4,1.44,4.45,0.95,116,86,3,1,0,0,0,9,4,0,0,17,0.203,0.329,0.266,0.595
99,"Connor
                                                                        McCaleb",Connor McCaleb,O'Fallon Hoots,1.04,Western,South,OFL,Connor McCaleb (OFL),Fr,RHP,56,No,5,3,1,2,0,0,16.67,67,20,10.8,12,12,9,4.86,16,8.64,1.78,6.48,1.74,6.25,0.23,92,108,2,3,0,1,0,12,6,0,2,32,0.299,0.4,0.478,0.878
21,"Brayson
                                                                        Shew",Brayson Shew,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Brayson Shew (SPR),Jr,RHP,55,No,10,0,3,0,0,0,16.67,57,10,5.4,8,8,7,3.78,16,8.64,2.29,4.32,1.02,4.33,-0.01,123,81,3,3,0,4,0,8,2,0,0,12,0.175,0.282,0.211,0.492
34,"Brant
                                                                        Smith",Brant Smith,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Brant Smith (SPR),So,RHP,55,No,9,0,3,1,1,0,16.67,60,14,7.56,8,4,14,7.56,10,5.4,0.71,2.16,1.68,6.31,-4.15,247,40,2,3,0,1,1,8,5,1,0,21,0.233,0.397,0.35,0.747
66,"Tate
                                                                        Foxson",Tate Foxson,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Tate Foxson (IVY),Fr,RHP,56,No,7,1,1,1,0,0,16.33,64,17,9.37,14,10,12,6.61,18,9.92,1.5,5.51,1.78,5.8,-0.29,114,87,1,3,0,0,0,13,2,1,1,24,0.266,0.405,0.375,0.78
14,"Mark
                                                                        DeCicco",Mark DeCicco,Thrillville Thrillbillies,0.966,Western,South,THR,Mark DeCicco (THR),So,RHP,54,No,6,2,1,0,0,0,16.33,60,14,7.72,8,6,4,2.2,17,9.37,4.25,3.31,1.1,4.27,-0.96,168,59,0,2,0,1,1,10,3,0,1,20,0.233,0.299,0.333,0.632
99,"Trey
                                                                        Sanders",Trey Sanders,Full Count Rhythm,1.031,Eastern,Central,FCR,Trey Sanders (FCR),So,RHP,55,No,5,3,0,0,0,0,16,60,18,10.13,12,12,7,3.94,7,3.94,1,6.75,1.56,7.51,-0.76,88,114,3,1,0,0,0,12,3,0,3,30,0.3,0.382,0.5,0.882
28,"Michael
                                                                        Castaneda",Michael Castaneda,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Michael Castaneda (LAF),Fr,RHP,56,No,6,0,0,0,0,0,16,63,17,9.56,10,10,7,3.94,14,7.88,2,5.63,1.5,6.64,-1.01,109,91,1,1,1,0,1,12,2,0,3,28,0.27,0.352,0.444,0.797
99,"Alex
                                                                        McHale",Alex McHale,Normal CornBelters,0.884,Eastern,Central,NOR,Alex McHale (NOR),Fr,RHP,54,No,11,0,1,1,1,0,16,81,34,19.13,16,14,3,1.69,16,9,5.33,7.88,2.31,3.39,4.49,65,153,5,2,1,0,0,28,5,1,0,41,0.42,0.453,0.506,0.96
9,"Ethan
                                                                        Orwig",Ethan Orwig,Jackson Rockabillys,0.871,Western,South,JAX,Ethan Orwig (JAX),Jr,RHP,55,No,11,0,3,0,0,0,16,58,12,6.75,5,5,11,6.19,28,15.75,2.55,2.81,1.44,3.76,-0.95,178,55,2,4,2,0,0,9,3,0,0,15,0.207,0.37,0.259,0.628
37,"Cason
                                                                        Sharp",Cason Sharp,Jackson Rockabillys,0.871,Western,South,JAX,Cason Sharp (JAX),FR,P,55,No,3,3,1,0,0,0,16,64,16,9,13,12,12,6.75,8,4.5,0.67,6.75,1.75,6.51,0.24,74,132,2,0,1,1,0,11,3,1,1,24,0.25,0.364,0.375,0.739
39,"Camron
                                                                        Poe",Camron Poe,O'Fallon Hoots,1.04,Western,South,OFL,Camron Poe (OFL),Fr,LHP,56,No,13,0,1,1,0,0,16,60,16,9,24,18,14,7.88,19,10.69,1.36,10.13,1.88,6.95,3.18,59,169,12,12,3,2,1,11,3,2,0,23,0.267,0.477,0.383,0.861
99,"Owen
                                                                        Kelly",Owen Kelly,O'Fallon Hoots,1.04,Western,South,OFL,Owen Kelly (OFL),Fr,RHP,56,No,3,3,2,0,0,0,16,59,11,6.19,4,4,1,0.56,21,11.81,21,2.25,0.75,2.83,-0.58,266,38,0,0,0,0,0,7,2,1,1,18,0.186,0.2,0.305,0.505
99,"Brody
                                                                        McNiel",Brody McNiel,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Brody McNiel (SPR),Fr,LHP,55,No,5,5,0,0,0,0,16,54,7,3.94,7,7,15,8.44,19,10.69,1.27,3.94,1.38,5.26,-1.32,135,74,0,2,0,0,0,5,2,0,0,9,0.13,0.338,0.167,0.505
99,"Logan
                                                                        Rushing",Logan Rushing,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Logan Rushing (SPR),So,LHP,55,No,5,5,1,2,0,0,16,61,13,7.31,12,9,13,7.31,25,14.06,1.92,5.06,1.63,4.14,0.92,105,94,2,2,0,2,1,9,4,0,0,17,0.213,0.359,0.279,0.638
22,"Clayton
                                                                        Woods",Clayton Woods,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Clayton Woods (SPR),Jr,RHP,55,No,5,2,1,2,0,0,16,63,20,11.25,12,12,11,6.19,11,6.19,1,6.75,1.94,5.7,1.05,79,126,0,3,1,4,0,15,4,1,0,26,0.317,0.42,0.413,0.832
30,"Willam
                                                                        Oczkowski",Willam Oczkowski,Johnstown Mill Rats,0.872,Eastern,Northeast,JNT,Willam Oczkowski (JNT),So,RHP,56,No,13,0,0,3,1,0,15.67,67,23,13.21,15,8,11,6.32,11,6.32,1,4.6,2.17,6.56,-1.96,109,90,2,3,0,1,1,13,9,0,1,35,0.343,0.451,0.522,0.974
1,"Gannon
                                                                        Wentz",Gannon Wentz,Lafayette Aviators,1.069,Eastern,Northeast,LAF,Gannon Wentz (LAF),Fr,RHP,56,No,11,0,3,1,0,0,15.67,58,17,9.76,13,12,16,9.19,14,8.04,0.88,6.89,2.11,6.75,0.14,89,111,2,1,1,2,1,14,2,0,1,22,0.293,0.442,0.379,0.821
11,"Cole
                                                                        Martz",Cole Martz,Normal CornBelters,0.884,Eastern,Central,NOR,Cole Martz (NOR),Fr,RHP,54,No,8,4,0,2,0,0,15.67,63,18,10.34,23,22,16,9.19,21,12.06,1.31,12.64,2.17,6.81,5.83,40,245,1,6,0,0,0,11,5,1,1,28,0.286,0.471,0.444,0.915
33,"David
                                                                        Smith",David Smith,Normal CornBelters,0.884,Eastern,Central,NOR,David Smith (NOR),So,RHP,54,No,10,1,1,0,0,0,15.67,64,18,10.34,17,16,17,9.76,22,12.64,1.29,9.19,2.23,7.13,2.06,55,178,2,3,0,0,0,14,2,0,2,26,0.281,0.452,0.406,0.859
30,"Kyle
                                                                        Rossy",Kyle Rossy,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Kyle Rossy (IVY),Fr,RHP,56,No,11,2,0,0,0,0,15.67,60,14,8.04,25,18,26,14.93,25,14.36,0.96,10.34,2.55,10,0.34,61,164,9,11,0,1,1,9,3,0,2,23,0.233,0.52,0.383,0.904
26,"Felix
                                                                        Polanco",Felix Polanco,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Felix Polanco (CHI),Jr,IF,56,No,9,1,1,1,3,0,15.33,60,14,8.22,11,5,3,1.76,10,5.87,3.33,2.93,1.11,5.82,-2.89,272,31,1,2,0,1,0,10,2,0,2,22,0.233,0.288,0.367,0.655
35,"Maks
                                                                        Pierga",Maks Pierga,Danville Dans,0.869,Eastern,Central,DAN,Maks Pierga (DAN),Fr,RHP,56,No,7,2,1,2,0,0,15.33,60,14,8.22,24,22,16,9.39,12,7.04,0.75,12.91,1.96,9.08,3.83,39,254,6,7,0,1,0,3,9,0,2,29,0.233,0.44,0.483,0.924
47,"Dax
                                                                        Bailey",Dax Bailey,Dubois County Bombers,0.908,Eastern,Central,DUB,Dax Bailey (DUB),Fr,RHP,54,No,6,2,1,2,0,0,15.33,70,25,14.68,12,8,5,2.94,4,2.35,0.8,4.7,1.96,5.76,-1.06,111,89,3,0,0,0,0,20,4,0,1,32,0.357,0.4,0.457,0.857
29,"Jimmy
                                                                        Amptmann",Jimmy Amptmann,Normal CornBelters,0.884,Eastern,Central,NOR,Jimmy Amptmann (NOR),Fr,RHP,54,No,4,4,3,0,0,0,15.33,57,14,8.22,5,5,12,7.05,18,10.57,1.5,2.93,1.7,5.04,-2.11,174,57,0,3,0,0,0,10,4,0,0,18,0.246,0.403,0.316,0.719
31,"Trey
                                                                        Bryant",Trey Bryant,Normal CornBelters,0.884,Eastern,Central,NOR,Trey Bryant (NOR),Jr,RHP,54,No,16,0,1,0,0,0,15.33,68,27,15.85,22,18,14,8.22,13,7.63,0.93,10.57,2.67,7.97,2.6,48,205,1,4,0,2,0,18,5,2,2,42,0.397,0.511,0.618,1.129
24,"Logan
                                                                        Romasanta",Logan Romasanta,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Logan Romasanta (SPR),Sr,RHP,55,No,5,3,0,3,0,0,15.33,57,13,7.63,10,8,16,9.39,18,10.57,1.13,4.7,1.89,6.86,-2.16,113,88,2,4,0,0,0,8,4,0,1,20,0.228,0.429,0.351,0.779
