#,Name (Original),Name,Team,Abbreviation,Name (Team),Year,Position,G,Team G Played,PA/TG,PA,PA/G,Participation Level,Qualified,AB,BIP,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,AVG,BABIP,OBP,SLG,OPS,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,
34,"Ben
                                                                        Kearns",Ben Kearns,REX Baseball,TER,Ben Kearns (TER),Fr,OF,5,5,4.00,20,4.00,100.00%,Yes,14,10,4,0.20,5,5,0,0,0,0,4,20.00%,4,20.00%,8,40.00%,1,0,0.357,0.500,0.526,0.357,0.883,0.000,1,0,1,5,0,0,3,3,1.00,3.67,
10,"Eli
                                                                        Riley",Eli Riley,REX Baseball,TER,Eli Riley (TER),Jr,C,3,5,3.00,15,5.00,60.00%,Yes,11,9,1,0.07,4,3,1,0,0,1,3,20.00%,2,13.33%,5,33.33%,2,1,0.364,0.444,0.533,0.455,0.988,0.091,1,0,0,5,1,0,2,3,0.67,3.30,
13,"Delvis
                                                                        Claudio",Delvis Claudio,REX Baseball,TER,Delvis Claudio (TER),Jr,IF,4,5,3.60,18,4.50,80.00%,Yes,12,10,6,0.33,4,4,0,0,0,3,4,22.22%,3,16.67%,7,38.89%,0,0,0.333,0.400,0.500,0.333,0.833,0.000,1,1,0,4,0,0,0,6,-,2.91,
2,"James
                                                                        Jauz",James Jauz,REX Baseball,TER,James Jauz (TER),Jr,IF,3,5,2.80,14,4.67,60.00%,Yes,11,8,2,0.14,5,5,0,0,0,6,3,21.43%,3,21.43%,6,42.86%,0,1,0.455,0.625,0.571,0.455,1.026,0.000,0,0,0,5,0,0,2,0,-,2.89,
24,"Caden
                                                                        Mason",Caden Mason,REX Baseball,TER,Caden Mason (TER),Jr,OF,3,5,1.60,8,2.67,60.00%,No,5,5,4,0.50,2,2,0,0,0,0,3,37.50%,0,0.00%,3,37.50%,1,0,0.400,0.400,0.625,0.400,1.025,0.000,0,0,0,2,0,0,1,1,1.00,2.06,
92,"Gabriel
                                                                        Arroyo",Gabriel Arroyo,REX Baseball,TER,Gabriel Arroyo (TER),Sr,OF,4,5,4.20,21,5.25,80.00%,Yes,18,15,2,0.10,5,5,0,0,0,3,3,14.29%,3,14.29%,6,28.57%,1,2,0.278,0.333,0.381,0.278,0.659,0.000,0,0,0,5,0,0,8,1,8.00,1.80,
17,"Brady
                                                                        Yeryar",Brady Yeryar,REX Baseball,TER,Brady Yeryar (TER),Fr,IF,1,5,1.00,5,5.00,20.00%,No,3,2,1,0.20,1,1,0,0,0,0,2,40.00%,1,20.00%,3,60.00%,0,0,0.333,0.500,0.600,0.333,0.933,0.000,0,0,0,1,0,0,1,0,-,0.91,
27,"Wally
                                                                        Diaz",Wally Diaz,REX Baseball,TER,Wally Diaz (TER),Fr,IF,4,5,3.60,18,4.50,80.00%,Yes,18,10,1,0.06,3,3,0,0,0,0,0,0.00%,8,44.44%,8,44.44%,0,0,0.167,0.300,0.167,0.167,0.334,0.000,0,0,0,3,0,0,4,3,1.33,0.50,
15,"Carder
                                                                        Reich",Carder Reich,REX Baseball,TER,Carder Reich (TER),Fr,IF,3,5,2.20,11,3.67,60.00%,No,11,6,1,0.09,2,2,0,0,0,0,0,0.00%,5,45.45%,5,45.45%,0,0,0.182,0.333,0.182,0.182,0.364,0.000,0,0,0,2,0,0,2,2,1.00,0.36,
38,"Gustavo
                                                                        Nava",Gustavo Nava,REX Baseball,TER,Gustavo Nava (TER),Sr,C,3,5,2.60,13,4.33,60.00%,No,11,7,2,0.15,1,0,0,0,1,2,2,15.38%,3,23.08%,6,46.15%,0,0,0.091,0.000,0.231,0.364,0.595,0.273,0,0,0,4,1,2,4,3,1.33,0.35,
16,"Michael
                                                                        Mylott",Michael Mylott,Thrillville Thrillbillies,THR,Michael Mylott (THR),Jr,OF,6,6,3.83,23,3.83,100.00%,Yes,21,18,4,0.17,11,5,2,2,2,12,1,4.35%,1,4.35%,4,17.39%,0,0,0.524,0.500,0.565,1.095,1.660,0.571,1,0,0,23,6,0,3,3,1.00,13.29,
35,"Bryson
                                                                        Arnette",Bryson Arnette,Thrillville Thrillbillies,THR,Bryson Arnette (THR),Jr,IF,6,6,4.50,27,4.50,100.00%,Yes,24,20,8,0.30,10,4,4,1,1,7,3,11.11%,3,11.11%,7,25.93%,2,0,0.417,0.450,0.481,0.792,1.273,0.375,0,0,0,19,6,0,5,4,1.25,10.02,
4,"Charlie
                                                                        Isom-McCall",Charlie Isom-McCall,Thrillville Thrillbillies,THR,Charlie Isom-McCall (THR),Fr,IF,3,6,2.00,12,4.00,50.00%,No,9,8,1,0.08,4,3,1,0,0,2,2,16.67%,1,8.33%,3,25.00%,5,0,0.444,0.500,0.583,0.556,1.139,0.112,1,0,0,5,1,0,1,3,0.33,4.89,
9,"Brendan
                                                                        Brock",Brendan Brock,Thrillville Thrillbillies,THR,Brendan Brock (THR),Fr,C,4,6,3.33,20,5.00,66.67%,Yes,16,13,7,0.35,6,6,0,0,0,2,2,10.00%,3,15.00%,5,25.00%,3,0,0.375,0.462,0.500,0.375,0.875,0.000,2,0,0,6,0,0,3,4,0.75,4.30,
5,"Jack
                                                                        Porter",Jack Porter,Thrillville Thrillbillies,THR,Jack Porter (THR),Fr,OF,6,6,4.33,26,4.33,100.00%,Yes,22,22,5,0.19,6,3,3,0,0,4,3,11.54%,1,3.85%,4,15.38%,0,0,0.273,0.273,0.346,0.409,0.755,0.136,0,1,0,9,3,0,6,9,0.67,3.57,
34,"Jackson
                                                                        Lindsey",Jackson Lindsey,Thrillville Thrillbillies,THR,Jackson Lindsey (THR),Jr,IF,6,6,4.50,27,4.50,100.00%,Yes,24,14,6,0.22,6,3,3,0,0,4,3,11.11%,10,37.04%,13,48.15%,0,0,0.250,0.429,0.333,0.375,0.708,0.125,0,0,0,9,3,0,4,4,1.00,3.26,
25,"Cameron
                                                                        Hill",Cameron Hill,Thrillville Thrillbillies,THR,Cameron Hill (THR),So,OF,6,6,4.33,26,4.33,100.00%,Yes,22,15,2,0.08,4,4,0,0,0,1,3,11.54%,7,26.92%,10,38.46%,1,0,0.182,0.267,0.308,0.182,0.490,0.000,1,0,0,4,0,0,6,5,1.20,1.71,
7,"Karl
                                                                        Peters",Karl Peters,Thrillville Thrillbillies,THR,Karl Peters (THR),Jr,IF,6,6,4.00,24,4.00,100.00%,Yes,22,15,3,0.13,4,4,0,0,0,2,2,8.33%,7,29.17%,9,37.50%,3,0,0.182,0.267,0.250,0.182,0.432,0.000,0,0,0,4,0,0,4,7,0.57,1.52,
2,"Kaleb
                                                                        Herbert",Kaleb Herbert,Thrillville Thrillbillies,THR,Kaleb Herbert (THR),Jr,IF,4,6,2.17,13,3.25,66.67%,No,12,7,1,0.08,2,0,1,0,1,1,1,7.69%,4,30.77%,6,46.15%,0,0,0.167,0.143,0.231,0.500,0.731,0.333,0,0,0,6,2,0,2,4,0.50,1.44,
3,"Josh
                                                                        Griffin",Josh Griffin,Thrillville Thrillbillies,THR,Josh Griffin (THR),Jr,IF,4,6,2.33,14,3.50,66.67%,No,12,8,0,0.00,3,3,0,0,0,0,1,7.14%,4,28.57%,5,35.71%,0,0,0.250,0.375,0.308,0.250,0.558,0.000,0,0,1,3,0,0,4,2,2.00,1.08,
38,"Alex
                                                                        Wilson",Alex Wilson,Thrillville Thrillbillies,THR,Alex Wilson (THR),Jr,OF,1,6,0.67,4,4.00,16.67%,No,3,3,1,0.25,1,1,0,0,0,1,1,25.00%,0,0.00%,1,25.00%,1,0,0.333,0.333,0.500,0.333,0.833,0.000,0,0,0,1,0,0,2,0,-,0.89,
10,"Alex
                                                                        Zimmerman",Alex Zimmerman,Thrillville Thrillbillies,THR,Alex Zimmerman (THR),Jr,IF,4,6,2.00,12,3.00,66.67%,No,10,8,2,0.17,0,0,0,0,0,0,2,16.67%,2,16.67%,4,33.33%,1,0,0.000,0.000,0.167,0.000,0.167,0.000,0,0,0,0,0,1,6,2,3.00,0.09,
8,"Kam
                                                                        Edwards",Kam Edwards,Thrillville Thrillbillies,THR,Kam Edwards (THR),Jr,OF,1,6,0.83,5,5.00,16.67%,No,4,4,1,0.20,0,0,0,0,0,0,1,20.00%,0,0.00%,1,20.00%,0,0,0.000,0.000,0.200,0.000,0.200,0.000,0,0,0,0,0,0,4,0,-,0.05,
17,"Houston
                                                                        Clark",Houston Clark,Thrillville Thrillbillies,THR,Houston Clark (THR),Fr,C,2,6,1.17,7,3.50,33.33%,No,7,2,0,0.00,0,0,0,0,0,0,0,0.00%,5,71.43%,5,71.43%,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,2,-,0.00,
-,League Totals/Averages,-,-,-,-,-,-,-,-,-,4366,-,-,-,3530,2578,629,0.14,830,632,136,24,38,516,607,13.90%,948,21.71%,1593,36.49%,265,59,0.235,0.307,0.371,0.320,0.691,0.084,176,34,19,1128,198,66,879,782,1.12,,
