#,Name (Original),Name,Team,Abbreviation,Name (Team),Year,Position,G,Team G Played,PA/TG,PA,PA/G,Participation Level,Qualified,AB,BIP,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,AVG,BABIP,OBP,SLG,OPS,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,
1,"Merik
                                                                        Carter",Merik Carter,Jackson Rockabillys,JAX,Merik Carter (JAX),So,IF,6,7,3.86,27,4.50,85.71%,Yes,18,11,3,0.11,5,2,3,0,0,4,8,29.63%,7,25.93%,15,55.56%,2,0,0.278,0.455,0.519,0.444,0.963,0.166,1,0,0,8,3,1,4,2,2.00,5.48,
10,"Brogan
                                                                        Jones",Brogan Jones,Jackson Rockabillys,JAX,Brogan Jones (JAX),FR,,6,7,3.57,25,4.17,85.71%,Yes,17,13,4,0.16,4,3,1,0,0,3,8,32.00%,4,16.00%,12,48.00%,3,0,0.235,0.308,0.480,0.294,0.774,0.059,0,0,0,5,1,0,3,6,0.50,4.15,
3,"Ethan
                                                                        Rossow",Ethan Rossow,Jackson Rockabillys,JAX,Ethan Rossow (JAX),Jr,OF,5,7,3.29,23,4.60,71.43%,Yes,19,15,4,0.17,6,5,1,0,0,7,2,8.70%,4,17.39%,6,26.09%,3,1,0.316,0.400,0.435,0.368,0.803,0.052,2,0,0,7,1,0,6,2,3.00,3.76,
41,"Gavin
                                                                        Arseneau",Gavin Arseneau,Jackson Rockabillys,JAX,Gavin Arseneau (JAX),Jr,OF,2,7,1.43,10,5.00,28.57%,No,7,7,4,0.40,3,2,1,0,0,1,1,10.00%,0,0.00%,1,10.00%,2,0,0.429,0.429,0.600,0.571,1.171,0.142,2,0,0,4,1,0,2,1,2.00,3.49,
28,"Brian
                                                                        Daker",Brian Daker,Jackson Rockabillys,JAX,Brian Daker (JAX),Fr,C,4,7,2.00,14,3.50,57.14%,No,12,7,3,0.21,5,4,1,0,0,4,2,14.29%,5,35.71%,7,50.00%,0,0,0.417,0.714,0.500,0.500,1.000,0.083,0,0,0,6,1,0,0,2,-,3.26,
7,"Jackson
                                                                        Blemler",Jackson Blemler,Jackson Rockabillys,JAX,Jackson Blemler (JAX),Jr,IF,3,7,2.00,14,4.67,42.86%,No,12,11,2,0.14,4,3,1,0,0,2,1,7.14%,1,7.14%,2,14.29%,0,0,0.333,0.364,0.429,0.417,0.846,0.084,1,0,0,5,1,0,2,5,0.40,2.37,
38,"Matt
                                                                        Houston",Matt Houston,Jackson Rockabillys,JAX,Matt Houston (JAX),So,C,4,7,2.71,19,4.75,57.14%,Yes,16,14,3,0.16,3,2,0,1,0,6,2,10.53%,3,15.79%,5,26.32%,0,0,0.188,0.214,0.263,0.313,0.576,0.125,0,1,0,5,1,0,1,5,0.20,1.59,
20,"Caden
                                                                        Contant",Caden Contant,Jackson Rockabillys,JAX,Caden Contant (JAX),Jr,IF,6,7,3.00,21,3.50,85.71%,Yes,14,6,4,0.19,2,2,0,0,0,3,6,28.57%,8,38.10%,14,66.67%,1,0,0.143,0.333,0.400,0.143,0.543,0.000,0,0,1,2,0,1,2,3,0.67,1.53,
32,"Gunnar
                                                                        Bingham",Gunnar Bingham,Jackson Rockabillys,JAX,Gunnar Bingham (JAX),So,OF,4,7,2.71,19,4.75,57.14%,Yes,15,8,3,0.16,3,3,0,0,0,3,4,21.05%,7,36.84%,11,57.89%,0,0,0.200,0.375,0.368,0.200,0.568,0.000,0,0,0,3,0,0,2,3,0.67,1.49,
19,"Will
                                                                        Bowen",Will Bowen,Jackson Rockabillys,JAX,Will Bowen (JAX),So,OF,6,7,2.43,17,2.83,85.71%,Yes,15,13,4,0.24,3,3,0,0,0,3,2,11.76%,2,11.76%,4,23.53%,1,0,0.200,0.231,0.294,0.200,0.494,0.000,0,0,0,3,0,0,5,3,1.67,1.19,
